user_id,neighborhood,age_band,cuisine_prefs,price_pref,dietary
u0001,Downtown,55+,Caribbean|Pizza,3,none
u0002,South Side,45-54,Mediterranean,1,none
u0003,Oakland,45-54,Cafe,2,none
u0004,Shadyside,18-24,Thai,1,vegetarian
u0005,Highland Park,45-54,American,2,vegetarian
u0006,Bloomfield,45-54,Spanish,4,none
u0007,Highland Park,45-54,Pizza,1,vegetarian
u0008,Strip District,25-34,Belgian,3,none
u0009,Oakland,35-44,Argentinian|Korean,2,none
u0010,Strip District,55+,Caribbean,3,vegetarian
u0011,Downtown,45-54,American|Argentinian,3,none
u0012,Squirrel Hill,25-34,Belgian,4,none
u0013,Bloomfield,35-44,Indian|Japanese,1,vegetarian
u0014,East Liberty,35-44,Thai,3,none
u0015,Oakland,18-24,Mediterranean,2,gluten_free
u0016,Strip District,18-24,Diner|Thai,2,none
u0017,South Side,35-44,Caribbean,3,none
u0018,Highland Park,35-44,BBQ|Diner,2,none
u0019,Oakland,25-34,American|Caribbean,2,none
u0020,South Side,35-44,Japanese,3,vegetarian
u0021,Shadyside,25-34,Cafe|Caribbean,3,none
u0022,Highland Park,45-54,Chinese|Vegan,4,vegan
u0023,Bloomfield,25-34,Italian|Mexican,3,vegan
u0024,Downtown,18-24,Italian,3,none
u0025,East Liberty,18-24,Argentinian|Vegan,2,none
u0026,Point Breeze,45-54,Pizza,3,none
u0027,North Shore,35-44,Diner,1,none
u0028,Strip District,45-54,Chinese|Italian,2,gluten_free
u0029,Polish Hill,35-44,BBQ|Mediterranean,1,none
u0030,Oakland,18-24,Belgian|Pizza,3,none
u0031,Lawrenceville,55+,Thai|Vegan,1,vegan
u0032,Shadyside,35-44,Indian|Spanish,2,none
u0033,Point Breeze,25-34,Indian,4,none
u0034,Lawrenceville,25-34,American|Mediterranean,2,none
u0035,Bloomfield,45-54,American|Indian,3,none
u0036,Highland Park,18-24,Diner|Korean,2,vegan
u0037,Mount Washington,25-34,Italian|Spanish,3,vegan
u0038,Oakland,35-44,Diner|Seafood,3,gluten_free
u0039,South Side,35-44,Chinese,1,none
u0040,Mount Washington,35-44,Diner,1,gluten_free
u0041,Shadyside,18-24,Chinese,4,none
u0042,Strip District,18-24,Diner|Indian,2,vegetarian
u0043,East Liberty,55+,Mexican,3,vegetarian
u0044,North Shore,35-44,Indian|Vegan,4,gluten_free
u0045,Strip District,35-44,Indian|Pizza,2,none
u0046,Squirrel Hill,55+,Italian|Vegan,2,gluten_free
u0047,South Side,18-24,Mexican|Vegan,1,none
u0048,Point Breeze,25-34,Mexican|Vegan,4,gluten_free
u0049,Strip District,18-24,Diner,2,vegan
u0050,Oakland,18-24,Caribbean|Pizza,2,vegan
u0051,Mount Washington,35-44,American|Diner,3,vegetarian
u0052,Polish Hill,45-54,Spanish,1,vegan
u0053,Bloomfield,18-24,Argentinian|Cafe,2,gluten_free
u0054,East Liberty,25-34,Mediterranean,4,none
u0055,Squirrel Hill,25-34,Cafe|Mediterranean,3,vegan
u0056,Oakland,25-34,Caribbean|Mexican,4,none
